dataNotificacao,municipioNotificacao,totalUti,totalObitos
2020-04-07,ITABORAI,0,0
2020-04-07,ITAOCARA,4,0
2020-04-07,NITEROI,10,3
2020-04-07,NOVA FRIBURGO,13,0
2020-04-07,PETROPOLIS,0,0
2020-04-07,RIO DE JANEIRO,409,4
2020-04-07,SANTO ANTONIO DE PADUA,0,0
2020-04-08,APERIBE,0,0
2020-04-08,ARMACAO DOS BUZIOS,0,0
2020-04-08,BELFORD ROXO,32,1
2020-04-08,CAMBUCI,1,0
2020-04-08,ITABORAI,0,0
2020-04-08,ITAOCARA,2,0
2020-04-08,NITEROI,13,2
2020-04-08,NOVA FRIBURGO,13,0
2020-04-08,PARACAMBI,1,1
2020-04-08,RIO DE JANEIRO,465,5
2020-04-08,SANTO ANTONIO DE PADUA,0,0
2020-04-09,APERIBE,0,0
2020-04-09,ARMACAO DOS BUZIOS,0,0
2020-04-09,BELFORD ROXO,24,0
2020-04-09,CAMBUCI,1,0
2020-04-09,ITABORAI,0,0
2020-04-09,ITAOCARA,3,0
2020-04-09,MIGUEL PEREIRA,0,0
2020-04-09,NITEROI,11,0
2020-04-09,NOVA FRIBURGO,12,0
2020-04-09,PETROPOLIS,30,0
2020-04-09,RIO DE JANEIRO,522,10
2020-04-09,SANTO ANTONIO DE PADUA,0,0
2020-04-10,APERIBE,0,0
2020-04-10,ARMACAO DOS BUZIOS,0,0
2020-04-10,BELFORD ROXO,24,0
2020-04-10,CAMBUCI,2,0
2020-04-10,ITABORAI,0,0
2020-04-10,ITAOCARA,3,0
2020-04-10,MIGUEL PEREIRA,2,0
2020-04-10,NITEROI,11,0
2020-04-10,NOVA FRIBURGO,16,0
2020-04-10,PETROPOLIS,30,0
2020-04-10,RIO DE JANEIRO,518,11
2020-04-10,SANTO ANTONIO DE PADUA,0,0
2020-04-10,TRAJANO DE MORAES,0,0
2020-04-11,APERIBE,0,0
2020-04-11,ARMACAO DOS BUZIOS,0,0
2020-04-11,BELFORD ROXO,26,0
2020-04-11,CAMBUCI,1,0
2020-04-11,ITABORAI,0,0
2020-04-11,ITAOCARA,3,0
2020-04-11,MIGUEL PEREIRA,2,0
2020-04-11,NITEROI,10,2
2020-04-11,NOVA FRIBURGO,17,0
2020-04-11,PETROPOLIS,25,0
2020-04-11,RIO DE JANEIRO,574,10
2020-04-11,SANTO ANTONIO DE PADUA,0,0
2020-04-11,TRAJANO DE MORAES,0,0
2020-04-12,APERIBE,0,0
2020-04-12,ARMACAO DOS BUZIOS,0,0
2020-04-12,BELFORD ROXO,26,1
2020-04-12,CAMBUCI,2,0
2020-04-12,ITABORAI,2,0
2020-04-12,ITAOCARA,4,0
2020-04-12,MANGARATIBA,2,1
2020-04-12,MIGUEL PEREIRA,8,0
2020-04-12,NITEROI,11,2
2020-04-12,NOVA FRIBURGO,17,0
2020-04-12,PETROPOLIS,27,0
2020-04-12,RIO CLARO,5,2
2020-04-12,RIO DE JANEIRO,561,10
2020-04-12,SANTO ANTONIO DE PADUA,0,0
2020-04-12,TRAJANO DE MORAES,0,0
2020-04-13,APERIBE,0,0
2020-04-13,ARMACAO DOS BUZIOS,0,0
2020-04-13,BELFORD ROXO,29,0
2020-04-13,CAMBUCI,1,0
2020-04-13,ITABORAI,1,0
2020-04-13,ITAOCARA,4,0
2020-04-13,MIGUEL PEREIRA,8,1
2020-04-13,NITEROI,11,2
2020-04-13,NOVA FRIBURGO,17,0
2020-04-13,PETROPOLIS,29,0
2020-04-13,RIO DE JANEIRO,576,9
2020-04-13,SANTO ANTONIO DE PADUA,0,0
2020-04-13,TRAJANO DE MORAES,0,0
2020-04-14,APERIBE,0,0
2020-04-14,ARMACAO DOS BUZIOS,0,0
2020-04-14,BELFORD ROXO,32,0
2020-04-14,CAMBUCI,1,0
2020-04-14,ITABORAI,1,0
2020-04-14,ITAOCARA,5,0
2020-04-14,MIGUEL PEREIRA,8,1
2020-04-14,NITEROI,15,1
2020-04-14,NOVA FRIBURGO,15,0
2020-04-14,PETROPOLIS,26,0
2020-04-14,RIO DE JANEIRO,682,12
2020-04-14,SANTO ANTONIO DE PADUA,0,0
2020-04-14,TRAJANO DE MORAES,0,0
2020-04-15,APERIBE,0,0
2020-04-15,ARMACAO DOS BUZIOS,0,0
2020-04-15,BELFORD ROXO,32,1
2020-04-15,BOM JESUS DO ITABAPOANA,5,0
2020-04-15,CAMBUCI,2,0
2020-04-15,ITABORAI,3,0
2020-04-15,ITAOCARA,4,0
2020-04-15,MIGUEL PEREIRA,10,0
2020-04-15,NITEROI,19,3
2020-04-15,NOVA FRIBURGO,14,0
2020-04-15,PETROPOLIS,29,0
2020-04-15,RIO DE JANEIRO,687,16
2020-04-15,SANTO ANTONIO DE PADUA,0,0
2020-04-15,SAO SEBASTIAO DO ALTO,0,0
2020-04-15,TRAJANO DE MORAES,0,0
2020-04-16,APERIBE,0,0
2020-04-16,ARMACAO DOS BUZIOS,0,0
2020-04-16,BELFORD ROXO,36,0
2020-04-16,BOM JESUS DO ITABAPOANA,5,0
2020-04-16,CAMBUCI,1,0
2020-04-16,ITABORAI,2,1
2020-04-16,ITAOCARA,4,0
2020-04-16,MIGUEL PEREIRA,10,0
2020-04-16,NITEROI,17,1
2020-04-16,NOVA FRIBURGO,16,0
2020-04-16,PARACAMBI,0,1
2020-04-16,PETROPOLIS,32,0
2020-04-16,RIO DE JANEIRO,725,20
2020-04-16,SANTO ANTONIO DE PADUA,0,0
2020-04-16,SAO SEBASTIAO DO ALTO,0,0
2020-04-16,SAQUAREMA,15,0
2020-04-16,TRAJANO DE MORAES,0,0
2020-04-17,APERIBE,0,0
2020-04-17,ARMACAO DOS BUZIOS,0,0
2020-04-17,BELFORD ROXO,33,1
2020-04-17,BOM JESUS DO ITABAPOANA,5,0
2020-04-17,CAMBUCI,2,0
2020-04-17,ITABORAI,2,0
2020-04-17,ITAOCARA,4,0
2020-04-17,MIGUEL PEREIRA,10,0
2020-04-17,NITEROI,18,3
2020-04-17,NOVA FRIBURGO,26,0
2020-04-17,PARACAMBI,0,2
2020-04-17,PETROPOLIS,30,0
2020-04-17,PIRAI,0,0
2020-04-17,RIO DE JANEIRO,755,17
2020-04-17,SANTO ANTONIO DE PADUA,0,0
2020-04-17,SAO SEBASTIAO DO ALTO,0,0
2020-04-17,TRAJANO DE MORAES,0,0
2020-04-18,APERIBE,0,0
2020-04-18,ARMACAO DOS BUZIOS,0,0
2020-04-18,BELFORD ROXO,31,1
2020-04-18,BOM JESUS DO ITABAPOANA,5,0
2020-04-18,CAMBUCI,1,0
2020-04-18,ITABORAI,2,1
2020-04-18,ITAOCARA,4,0
2020-04-18,MIGUEL PEREIRA,10,0
2020-04-18,NITEROI,27,4
2020-04-18,NOVA FRIBURGO,22,0
2020-04-18,PETROPOLIS,36,0
2020-04-18,PIRAI,0,0
2020-04-18,RIO DE JANEIRO,745,23
2020-04-18,SANTO ANTONIO DE PADUA,0,0
2020-04-18,SAO SEBASTIAO DO ALTO,0,0
2020-04-18,TRAJANO DE MORAES,0,0
2020-04-19,APERIBE,0,0
2020-04-19,ARMACAO DOS BUZIOS,0,0
2020-04-19,BELFORD ROXO,35,0
2020-04-19,BOM JESUS DO ITABAPOANA,5,0
2020-04-19,CAMBUCI,2,0
2020-04-19,ITABORAI,2,0
2020-04-19,ITAOCARA,4,0
2020-04-19,MIGUEL PEREIRA,8,0
2020-04-19,NITEROI,19,1
2020-04-19,NOVA FRIBURGO,22,1
2020-04-19,PARACAMBI,0,2
2020-04-19,PETROPOLIS,33,0
2020-04-19,PIRAI,0,0
2020-04-19,RIO DE JANEIRO,799,26
2020-04-19,SAO SEBASTIAO DO ALTO,0,0
2020-04-19,TRAJANO DE MORAES,0,0
2020-04-20,APERIBE,0,0
2020-04-20,BELFORD ROXO,35,1
2020-04-20,BOM JESUS DO ITABAPOANA,6,0
2020-04-20,CAMBUCI,2,0
2020-04-20,ITABORAI,2,1
2020-04-20,ITAOCARA,4,0
2020-04-20,MESQUITA,0,0
2020-04-20,MIGUEL PEREIRA,8,1
2020-04-20,NITEROI,19,3
2020-04-20,NOVA FRIBURGO,22,0
2020-04-20,PETROPOLIS,33,0
2020-04-20,PIRAI,0,0
2020-04-20,RIO DE JANEIRO,732,23
2020-04-20,SANTO ANTONIO DE PADUA,0,0
2020-04-20,SAO SEBASTIAO DO ALTO,0,0
2020-04-20,SAQUAREMA,7,0
2020-04-20,TRAJANO DE MORAES,0,0
2020-04-21,APERIBE,0,0
2020-04-21,ARMACAO DOS BUZIOS,0,0
2020-04-21,BELFORD ROXO,30,1
