dataNotificacao,municipio,totalUti,totalObitos,data,populacao,densidadeDemo,IDHM,PIB,totalUtiRel,totalObitoRel,1dose,2dose,doseU,1doseA,2doseA,doseUA,1dose_rel,2dose_rel,1doseA_rel,2doseA_rel
2021-01-31,SAO SEBASTIAO DO ALTO,0,0,2021-01-17,9387,22.35,0.646,21801.76,0.0,0.0,,,,,,,,,,
2021-01-31,SAPUCAIA,10,0,2021-01-17,18249,32.35,0.675,40457.4,0.054797523151953534,0.0,,,,,,,,,,
2021-01-31,SAQUAREMA,13,0,2021-01-17,90583,209.96,0.709,35244.56,0.014351478754291642,0.0,,,,,,,,,,
2021-01-31,TERESOPOLIS,30,0,2021-01-17,184240,212.49,0.73,28503.62,0.01628310898827616,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0005427702996092054,0.0,0.0005427702996092054
2021-01-31,TRAJANO DE MORAES,0,0,2021-01-17,10640,17.44,0.667,18452.36,0.0,0.0,,,,,,,,,,
2021-01-31,TRES RIOS,34,1,2021-01-17,82142,237.42,0.725,48575.26,0.04139173626159577,0.0012174040076939933,1.0,0.0,0.0,1.0,0.0,0.0,0.0012174040076939933,0.0,0.0012174040076939933,0.0
2021-01-31,VALENCA,33,0,2021-01-17,76869,55.06,0.738,33675.61,0.042930179916481286,0.0,,,,,,,,,,
2021-01-31,VASSOURAS,105,4,2021-01-17,37083,63.94,0.714,26624.86,0.2831486125717984,0.010786613812258986,,,,,,,,,,
2021-01-31,VOLTA REDONDA,12,0,2021-01-17,273988,1412.75,0.771,50606.58,0.00437975385783319,0.0,,,,,,,,,,
2021-02-01,ANGRA DOS REIS,42,1,2021-01-18,207044,205.45,0.724,44590.88,0.02028554316956782,0.0004829891230849482,,,,,,,,,,
2021-02-01,APERIBE,0,0,2021-01-18,11901,107.92,0.692,15625.88,0.0,0.0,,,,,,,,,,
2021-02-01,ARARUAMA,14,0,2021-01-18,134293,175.55,0.718,20480.15,0.010424966305019621,0.0,,,,,,,,,,
2021-02-01,AREAL,0,0,2021-01-18,12669,102.99,0.684,25200.29,0.0,0.0,,,,,,,,,,
2021-02-01,ARMACAO DOS BUZIOS,0,0,2021-01-18,34477,392.16,0.728,76723.42,0.0,0.0,,,,,,,,,,
2021-02-01,BARRA MANSA,18,2,2021-01-18,184833,324.94,0.729,28067.77,0.009738520718702829,0.0010820578576336477,,,,,,,,,,
2021-02-01,BELFORD ROXO,75,1,2021-01-18,513118,6031.38,0.684,15598.12,0.014616520956193313,0.00019488694608257748,1.0,0.0,0.0,3.0,0.0,0.0,0.00019488694608257748,0.0,0.0005846608382477325,0.0
2021-02-01,BOM JESUS DO ITABAPOANA,45,2,2021-01-18,37203,59.13,0.732,20586.07,0.120957987259092,0.005375910544848534,1.0,0.0,0.0,1.0,0.0,0.0,0.002687955272424267,0.0,0.002687955272424267,0.0
2021-02-01,CAMBUCI,1,0,2021-01-18,15514,26.4,0.691,21730.91,0.006445790898543251,0.0,,,,,,,,,,
2021-02-01,CAMPOS DOS GOYTACAZES,167,5,2021-01-18,511168,115.16,0.716,64186.76,0.03267027669963691,0.000978151996995117,1.0,0.0,0.0,1.0,0.0,0.0,0.00019563039939902343,0.0,0.00019563039939902343,0.0
2021-02-01,CONCEICAO DE MACABU,2,0,2021-01-18,23398,61.08,0.712,15397.59,0.008547739123001967,0.0,,,,,,,,,,
2021-02-01,CORDEIRO,10,0,2021-01-18,22041,175.59,0.729,23270.95,0.04536999228710131,0.0,,,,,,,,,,
2021-02-01,DUQUE DE CAXIAS,163,3,2021-01-18,924624,1828.51,0.711,45490.61,0.017628787485507624,0.00032445621138971084,30.0,1.0,0.0,30.0,4.0,0.0,0.0032445621138971086,0.00010815207046323695,0.0032445621138971086,0.0004326082818529478
2021-02-01,GUAPIMIRIM,11,0,2021-01-18,61388,142.7,0.698,16377.56,0.01791881149410308,0.0,,,,,,,,,,
2021-02-01,IGUABA GRANDE,2,0,2021-01-18,28837,439.91,0.761,17622.8,0.006935534209522489,0.0,,,,,,,,,,
2021-02-01,ITABORAI,20,0,2021-01-18,242543,506.55,0.693,18746.84,0.008245960510095117,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0004122980255047559,0.0,0.0004122980255047559,0.0
2021-02-01,ITAGUAI,0,0,2021-01-18,134819,395.45,0.715,63968.12,0.0,0.0,,,,,,,,,,
2021-02-01,ITAOCARA,8,0,2021-01-18,23222,53.09,0.713,23342.04,0.03445009043148738,0.0,,,,,,,,,,
2021-02-01,MACAE,44,2,2021-01-18,261501,169.89,0.764,61223.07,0.016825939480154952,0.0007648154309161342,1.0,0.0,0.0,1.0,0.0,0.0,0.0003824077154580671,0.0,0.0003824077154580671,0.0
2021-02-01,MAGE,4,0,2021-01-18,246433,585.13,0.709,15926.84,0.0016231592359789476,0.0,,,,,,,,,,
2021-02-01,MARICA,22,1,2021-01-18,164504,351.55,0.765,171003.42,0.013373534990030638,0.0006078879540923017,,,,,,,,,,
2021-02-01,MIGUEL PEREIRA,20,0,2021-01-18,25581,85.21,0.745,23125.78,0.07818302646495445,0.0,,,,,,,,,,
2021-02-01,MIRACEMA,10,0,2021-01-18,27154,88.15,0.713,19458.25,0.03682698681593872,0.0,,,,,,,,,,
2021-02-01,NITEROI,85,2,2021-01-18,515317,3640.8,0.837,78854.6,0.016494701319770162,0.0003881106192887096,1.0,0.0,0.0,1.0,0.0,0.0,0.0001940553096443548,0.0,0.0001940553096443548,0.0
2021-02-01,NOVA FRIBURGO,39,0,2021-01-18,191158,195.07,0.745,27435.52,0.020401971144289016,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.00052312746523818,0.0,0.00052312746523818,0.0
2021-02-01,NOVA IGUACU,5,0,2021-01-18,823302,1527.6,0.713,20538.67,0.000607310561616515,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.00012146211232330299,0.0,0.00012146211232330299,0.0
2021-02-01,PARACAMBI,0,0,2021-01-18,52683,262.27,0.72,18799.04,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0018981455118349372,0.0,0.0018981455118349372,0.0
2021-02-01,PARAIBA DO SUL,18,1,2021-01-18,44518,70.77,0.702,22562.99,0.04043308324722584,0.002246282402623658,,,,,,,,,,
2021-02-01,PETROPOLIS,105,2,2021-01-18,306678,371.85,0.745,41456.25,0.034237865122375914,0.0006521498118547792,,,,,,,,,,
2021-02-01,PIRAI,0,0,2021-01-18,29545,52.07,0.708,63885.0,0.0,0.0,,,,,,,,,,
